"Census.Tract","Murder_Count","Murder_Percentage","Zip.Code","Most.Common.Clearance.Status","Average.open_case.Duration","Highest.Offense.Description","Offense.Count","Total.Incidents","Total.Family.Violence","AvgPopulation","AvgFoodInsecurePop","AvgFoodInsecurePctg","Proximity.to.Fresh.Food","Crime.Rate"
21.1,8,0.0646255755715324,78721,"Not Cleared",40.2188250709762,"FAMILY DISTURBANCE",2125,16032,1713,4343,915,0.21,"true",3691.45751784481
21.11,8,0.0445881172667484,78721,"Not Cleared",36.0095131505316,"FAMILY DISTURBANCE",2645,22950,2230,5558,1180,0.21,"true",4129.18315940986
21.12,4,0.0298730395817774,78723,"Not Cleared",38.707986088326,"FAMILY DISTURBANCE",2475,18427,2115,5467,1355,0.25,"false",3370.58715931955
21.13,3,0.0393700787401575,78723,"Not Cleared",41.2017800811176,"FAMILY DISTURBANCE",1164,10524,1094,3588.5,555,0.155,"true",2932.7016859412
22.01,0,0,78724,"Cleared",26.2127659574468,"DWI",12,57,2,2199.5,395,0.18,"false",25.9149806774267
22.02,0,0,78724,"Not Cleared",27.4202898550725,"FAMILY DISTURBANCE",12,80,9,9485,2145,0.225,"true",8.43437005798629
22.08,0,0,78724,"Not Cleared",0,"PROTECTIVE ORDER",1,1,0,8366,1360,0.16,"true",0.11953143676787
22.09,0,0,78653,"Cleared",38.5454545454545,"DWI",5,12,0,10119.5,1345,0.135,"false",1.18582933939424
22.11,0,0,78724,"Not Cleared",38.7124524714829,"THEFT",225,2355,216,3071.5,385,0.125,"false",766.726355201042
22.12,0,0,78724,"Cleared",8.8,"DWI 2ND",2,7,0,1333,235,0.18,"false",5.25131282820705
23.04,0,0,78741,"Not Cleared",36.4675475197033,"BURGLARY OF VEHICLE",612,4957,383,4043.5,765,0.19,"false",1225.91814022505
23.07,0,0,78741,"Cleared",43.5576923076923,"DWI",13,63,1,6105.5,1295,0.21,"false",10.318565228073
23.08,0,0,78704,"Cleared",9.5,"ASSAULT WITH INJURY",1,6,0,6540,1410,0.215,"false",0.917431192660551
23.1,5,0.0698226504678118,78617,"Not Cleared",40.5420795034022,"FAMILY DISTURBANCE",1423,9676,1081,3018.5,535,0.175,"true",3205.56567831704
23.12,0,0,78741,"Cleared",22.8308823529412,"DWI",32,162,5,8485,1950,0.23,"true",19.0925162050678
23.13,4,0.0368833563854311,78741,"Not Cleared",32.1480535562263,"FAMILY DISTURBANCE",2095,14821,1543,4574.5,995,0.22,"false",3239.91693081211
23.14,8,0.0473260766682442,78741,"Not Cleared",32.2477181173831,"FAMILY DISTURBANCE",3028,22390,2260,5310,1125,0.21,"false",4216.5725047081
23.15,3,0.0235867599654061,78741,"Not Cleared",33.0350697292863,"FAMILY DISTURBANCE",1629,16855,1302,2996,595,0.2,"false",5625.8344459279
23.16,11,0.0548300269165587,78741,"Not Cleared",32.7031745360781,"FAMILY DISTURBANCE",2971,27098,2619,4768,1035,0.215,"false",5683.30536912752
23.17,0,0,78741,"Cleared",37.2894736842105,"DWI",24,124,4,6370.5,740,0.12,"true",19.4647201946472
23.19,0,0,78617,"Not Cleared",35.8408408408408,"ASSAULT WITH INJURY",244,2004,39,2325,620,0.27,"false",861.935483870968
24.1,2,0.0242218723507327,78745,"Not Cleared",31.1634576408593,"FAMILY DISTURBANCE",1692,11714,1074,4471.5,890,0.2,"true",2619.70256066197
24.11,6,0.0353585950851553,78744,"Not Cleared",34.3606385108086,"BURGLARY OF VEHICLE",2546,23444,1819,7436,1495,0.2,"true",3152.77030661646
24.12,3,0.0360446954223237,78744,"Not Cleared",38.8290319290013,"FAMILY DISTURBANCE",1901,11630,1365,6200.5,990,0.16,"true",1875.65518909765
24.13,4,0.0403632694248234,78744,"Not Cleared",34.8677257813849,"FAMILY DISTURBANCE",2400,13790,1704,4905.5,1205,0.245,"true",2811.13036387728
24.19,2,0.0149981252343457,78744,"Not Cleared",28.8827380195754,"FAMILY DISTURBANCE",2268,18334,1557,4889,975,0.2,"true",3750.05113520147
24.21,0,0,78748,"Cleared",5.25,"ASSAULT WITH INJURY",1,5,0,10842.5,1860,0.17,"false",0.461148259165322
24.22,1,0.00718907260963336,78745,"Not Cleared",28.8675652281439,"FAMILY DISTURBANCE",2079,19303,1344,6020,875,0.145,"false",3206.47840531561
24.23,2,0.0327439423706614,78748,"Not Cleared",33.0594800598884,"FAMILY DISTURBANCE",1250,8618,799,5980.5,795,0.13,"true",1441.0166374049
24.24,3,0.0505731625084289,78745,"Not Cleared",32.7998331943286,"FAMILY DISTURBANCE",1157,8410,732,3878,685,0.175,"true",2168.64363073749
24.25,0,0,78744,"Cleared",29.3055555555556,"VOCO SOLICITATION PROHIBIT",29,51,2,4100.5,575,0.14,"false",12.4375076210218
24.29,0,0,78744,"Not Cleared",12.5,"FRAUD - OTHER",1,2,0,1622,385,0.24,"false",1.23304562268804
24.3,2,0.0475737392959087,78744,"Not Cleared",34.4278578290106,"FAMILY DISTURBANCE",1009,6106,602,2633.5,410,0.155,"true",2318.58743117524
24.31,0,0,78744,"Not Cleared",11.9,"DWI",2,11,1,9420,1475,0.16,"true",1.16772823779193
24.32,1,0.0989119683481701,78744,"Not Cleared",37.6329935125116,"APPLIC TO REVOKE PROBATION",310,1360,86,2947.5,455,0.155,"false",461.407972858355
24.33,0,0,78617,"Cleared",14.7884615384615,"DWI",7,59,2,9324,1085,0.12,"true",6.32775632775633
24.34,0,0,78747,"Cleared",11.3333333333333,"DWI",6,58,2,1685.5,265,0.16,"false",34.4111539602492
24.35,0,0,78617,"Not Cleared",81.75,"FAMILY DISTURBANCE",2,5,0,8479,1190,0.145,"true",0.589692180681684
24.36,0,0,78719,"Not Cleared",90.4418604651163,"ASSAULT W/INJURY-FAM/DATE VIOL",11,75,16,2781.5,355,0.13,"false",26.9638684163221
25,2,0.0251382604323781,78759,"Not Cleared",33.8986529826812,"BURGLARY OF VEHICLE",1894,10623,550,5917,1075,0.18,"false",1795.3354740578
109.08,0,0,78610,"Cleared",1,"CUSTODY ARREST TRAFFIC WARR",1,1,0,14251,1690,0.12,"false",0.0701705143498702
203.11,1,0.0165672630881378,78717,"Not Cleared",35.0284360189573,"THEFT",1204,7479,455,6685,985,0.15,"false",1118.77337322363
204.1,0,0,78729,"Not Cleared",44.5340404538727,"FAMILY DISTURBANCE",556,4704,299,5364,775,0.14,"false",876.957494407159
204.11,0,0,78729,"Not Cleared",34.6694677871148,"THEFT",44,463,21,5325.5,685,0.13,"false",86.9401934090696
205.03,0,0,78717,"Cleared",3,"DWI",2,3,0,5814,660,0.115,"false",0.515995872033024
9800,0,0,78719,"Not Cleared",32.1002138952705,"THEFT",2129,14541,212,0,0,0,"false",Inf
